product_id,product_name,description,deep_link,price,currency,brand_name,merchant_category,image_url,in_stock,stock_quantity
66f6b6b32e7ed,Ashley Silk Neckerchief,"This elegant Neckerchief is crafted from high-quality silk, providing a luxurious and soft feel against the skin. Its versatile size and stylish design make it a perfect accessory to elevate any outfit, adding a touch of sophistication and refinement. The Neckerchief's lightweight and flexible fabric allow it to be worn as a chic hair accessory or a classic neck scarf, making it a versatile addition to any fashion-forward wardrobe. Print by Danika Herrick.",https://www.sarahalexis.com/products/ashley-neckerchief,58.00,USD,Sarah Alexis,Apparel & Accessories > Miscellaneous,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/ashley_neckerchief_green.png?v=1740609467,1,26
66f6b6ad2572d,Ashley Silk Neckerchief,"Featuring our Signature Fall Floral that's reminiscent of a traditional block print with a beautiful watercolor background.
This 100% Silk neckerchief is perfect to wear around the neck or as a hair accessory and elevates any outfit.",https://www.sarahalexis.com/products/ashley-neckerchief-1,58.00,USD,Sarah Alexis,Apparel & Accessories > Miscellaneous,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/neckerchief-2FINAL.jpg?v=1731521127,1,5
66f6b6b11e876,Carey Piped Cashmere Sweater,"Introducing the Carey sweater, a perfect fall wardrobe staple. This lightweight V-neck sweater is made from super soft 100% cashmere.",https://www.sarahalexis.com/products/carey-piped-cashmere-sweater,258.00,USD,Sarah Alexis,Apparel & Accessories > Clothing > Shirts & Tops,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/StudioCamelCareySweaterFront.jpg?v=1727293087,1,2
66f6b6b0e244f,Carey Piped Cashmere Sweater,"Introducing the Carey sweater, a perfect fall wardrobe staple. This lightweight V-neck sweater is made from super soft 100% cashmere.",https://www.sarahalexis.com/products/carey-piped-cashmere-sweater-1,258.00,USD,Sarah Alexis,Apparel & Accessories > Clothing > Shirts & Tops,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/StudioEmeraldCareySweaterFront.jpg?v=1727293148,1,1
3004-01-LPD,Leigh Polo Dress,The Leigh Polo Dress is our take on a classic. The beautiful silk charmeuse elevates what could’ve been a casual style into something wholly different. This is the piece you’ll reach for when you want to look effortlessly pulled together.,https://www.sarahalexis.com/products/leigh-polo-dress,375.00,USD,Sarah Alexis,Apparel & Accessories > Clothing > Dresses,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A9627-Edit_websize.jpg?v=1683491954,0,0
3005.01-01-LPD-P,Leigh Polo Dress - Print,The Leigh Polo Dress is our take on a classic. The beautiful silk charmeuse elevates what could’ve been a casual style into something wholly different. This is the piece you’ll reach for when you want to look effortlessly pulled together.,https://www.sarahalexis.com/products/leigh-polo-dress-print,375.00,USD,Sarah Alexis,Apparel & Accessories > Clothing > Dresses,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A0553-Edit_websize.jpg?v=1684429151,0,0
3006-01-NS,Nicole Silk Short,"Nicole is a feminine, flirty, high waisted short designed to be effortlessly chic. It features a flat front waistband with covered elastic in the back, a ruffled hem, and slant front pockets.",https://www.sarahalexis.com/products/nicole-high-waisted-short,122.50,USD,Sarah Alexis,Apparel & Accessories > Miscellaneous,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/4I5A8877-Edit_websize.jpg?v=1688664918,1,9
3006.01-01-NS-P,Nicole Silk Short - Print,"Nicole is a feminine, flirty, high waisted short designed to be effortlessly chic. It features a flat front waistband with covered elastic in the back, a ruffled hem, and slant front pockets.",https://www.sarahalexis.com/products/nicole-high-waisted-short-print,122.50,USD,Sarah Alexis,Apparel & Accessories > Miscellaneous,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A9873-Edit_websize_1.jpg?v=1688664792,1,9
3001-01-RB,Rachel Blouse,"The closet hero that's one of our best sellers! A perfect wardrobe staple to wear year-round in a 100% cotton that's not see-through and perfectly appropriate for the office or lunch with friends.

Collared Neckline
3/4 Sleeves with Buttoned Cuffs
Functional Neckline Ties
High - Low Hem",https://www.sarahalexis.com/products/rachel-3-qtr-sleeve-popover,238.00,USD,Sarah Alexis,Apparel & Accessories > Clothing > Shirts & Tops,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/ties-1.jpg?v=1727292945,1,3
66f6b6b446dac,Rachel Silk Blouse,"Elevate your wardrobe with our classic Rachel Blouse, now offered in a luxurious 100% silk charmeuse. Available in a cardinal red that’s a perfect option for holiday events and celebrations. This blouse is your new go-to for a blend of sophistication and modern flair.

Collared Neckline
3/4 Sleeves with Buttoned Cuffs
Functional Neckline Ties
High - Low Hem",https://www.sarahalexis.com/products/rachel-silk-blouse-cranberry,268.00,USD,Sarah Alexis,Apparel & Accessories > Clothing > Shirts & Tops,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/SarahAlexisBrand-7065.jpg?v=1727173640,1,4
66f6b6ae618e0,Rachel Silk Blouse - Print,"Elevate your Wardrobe with our classic Rachel Blouse, now offered in a luxurious 100% Silk charmeuse. Available in our signature Fall Floral print that’s reminiscent of a traditional block print with a beautiful watercolor background. This blouse is your new go-to for pairing with denim or corduroys for the season.",https://www.sarahalexis.com/products/rachel-silk-blouse,268.00,USD,Sarah Alexis,Apparel & Accessories > Clothing > Shirts & Tops,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/SarahAlexisBrand-6744.jpg?v=1731522524,1,1
66f6b6b2c3c74,Samantha Silk Dress,"The perfect holiday hostess dress! The Samantha dress is figure-flattering, timeless, and sophisticated. Featuring a front slit and pockets, it's sure to be a wardrobe favorite.

 Collared Neckline with Buttoned Front Bodice
Center Front Slit For Easy Movement
Midi Length
Pockets
Fully lined",https://www.sarahalexis.com/products/samantha-silk-dress,455.00,USD,Sarah Alexis,Apparel & Accessories > Clothing > Dresses,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/SarahAlexisBrand-6958.jpg?v=1731521942,1,1
