product_id,product_name,description,price,currency,product_url,image_url,category,brand,stock
8052452524341,Alice Top,"<p>Chic and modern, the Alice Top was designed to be a closet staple. Featuring a slightly cropped and relaxed fit, this piece shows off your shape while still being comfortable. Pair back to the Phyllis Wrap Skirt for a coordinated look.</p>",225.00,USD,https://0cadba.myshopify.com/products/alice-woven-shell,https://cdn.shopify.com/s/files/1/0679/7823/2117/products/ScreenShot2023-01-04at6.04.53PM.png?v=1672876072,,Sarah Alexis,0
8279071981877,Ashley Silk Neckerchief,"<p><span>This elegant Neckerchief is crafted from high-quality silk, providing a luxurious and soft feel against the skin. Its versatile size and stylish design make it a perfect accessory to elevate any outfit, adding a touch of sophistication and refinement. The Neckerchief's lightweight and flexible fabric allow it to be worn as a chic hair accessory or a classic neck scarf, making it a versatile addition to any fashion-forward wardrobe. Print by Danika Herrick.</span></p>",58.00,USD,https://0cadba.myshopify.com/products/ashley-neckerchief,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/ashley_neckerchief_green.png?v=1740609467,,Sarah Alexis,26
9835631673653,Ashley Silk Neckerchief,"<p class=""p1"">Featuring our Signature Fall Floral that's reminiscent of a traditional block print with a beautiful watercolor background.</p>
<p class=""p1"">This 100% Silk neckerchief is perfect to wear around the neck or as a hair accessory and elevates any outfit.</p>",58.00,USD,https://0cadba.myshopify.com/products/ashley-neckerchief-1,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/neckerchief-2FINAL.jpg?v=1731521127,,Sarah Alexis,5
9835632754997,Carey Piped Cashmere Sweater,"<p class=""p1"">Introducing the Carey sweater, a perfect fall wardrobe staple. This lightweight V-neck sweater is made from super soft 100% cashmere.</p>",258.00,USD,https://0cadba.myshopify.com/products/carey-piped-cashmere-sweater,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/StudioCamelCareySweaterFront.jpg?v=1727293087,Tops,Sarah Alexis,2
9835633246517,Carey Piped Cashmere Sweater,"<p class=""p1"">Introducing the Carey sweater, a perfect fall wardrobe staple. This lightweight V-neck sweater is made from super soft 100% cashmere.</p>",258.00,USD,https://0cadba.myshopify.com/products/carey-piped-cashmere-sweater-1,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/StudioEmeraldCareySweaterFront.jpg?v=1727293148,Tops,Sarah Alexis,1
8052458684725,Leigh Polo Dress,"<p data-mce-fragment=""1"">The Leigh Polo Dress is our take on a classic. The beautiful silk charmeuse elevates what could’ve been a casual style into something wholly different. This is the piece you’ll reach for when you want to look effortlessly pulled together.</p>",375.00,USD,https://0cadba.myshopify.com/products/leigh-polo-dress,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A9627-Edit_websize.jpg?v=1683491954,Dresses,Sarah Alexis,0
8066071789877,Leigh Polo Dress - Print,"<p data-mce-fragment=""1"">The Leigh Polo Dress is our take on a classic. The beautiful silk charmeuse elevates what could’ve been a casual style into something wholly different. This is the piece you’ll reach for when you want to look effortlessly pulled together.</p>",375.00,USD,https://0cadba.myshopify.com/products/leigh-polo-dress-print,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A0553-Edit_websize.jpg?v=1684429151,Dresses,Sarah Alexis,0
8066078900533,Nicole Silk Short,"<p data-mce-fragment=""1"">Nicole is a feminine, flirty, high waisted short designed to be effortlessly chic. It features a flat front waistband with covered elastic in the back, a ruffled hem, and slant front pockets.</p>",122.50,USD,https://0cadba.myshopify.com/products/nicole-high-waisted-short,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/4I5A8877-Edit_websize.jpg?v=1688664918,,Sarah Alexis,9
8066079326517,Nicole Silk Short - Print,"<p data-mce-fragment=""1"">Nicole is a feminine, flirty, high waisted short designed to be effortlessly chic. It features a flat front waistband with covered elastic in the back, a ruffled hem, and slant front pockets.</p>",122.50,USD,https://0cadba.myshopify.com/products/nicole-high-waisted-short-print,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A9873-Edit_websize_1.jpg?v=1688664792,,Sarah Alexis,9
8052456030517,Phyllis Wrap Skirt,"<p data-mce-fragment=""1"">A vintage inspired silhouette with a minimalist design. The Phyllis wrap skirt is the epitome of day-to-night and can be dressed up or down. Pair with the Alice Top to create a matching set.</p>",275.00,USD,https://0cadba.myshopify.com/products/phyllis-wrap-midi-skirt,https://cdn.shopify.com/s/files/1/0679/7823/2117/products/ScreenShot2023-01-04at6.05.59PM.png?v=1672876380,Skirts,Sarah Alexis,0
8052447183157,Rachel Blouse,"<p data-mce-fragment=""1"">The closet hero that's one of our best sellers! A perfect wardrobe staple to wear year-round in a 100% cotton that's not see-through and perfectly appropriate for the office or lunch with friends.</p>
<ul>
<li data-mce-fragment=""1"">Collared Neckline</li>
<li data-mce-fragment=""1"">3/4 Sleeves with Buttoned Cuffs</li>
<li data-mce-fragment=""1"">Functional Neckline Ties</li>
<li data-mce-fragment=""1"">High - Low Hem</li>
</ul>",238.00,USD,https://0cadba.myshopify.com/products/rachel-3-qtr-sleeve-popover,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/ties-1.jpg?v=1727292945,Tops,Sarah Alexis,3
9835644649781,Rachel Cotton Blouse,"<p class=""p1"">The closet hero that’s one of our best sEllers! A perfect wardrobe staple to wear year-round in a cotton that’s not see-through and perfectly appropriate for the office or drinks with friends.</p>",238.00,USD,https://0cadba.myshopify.com/products/rachel-cotton-blouse,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/SarahAlexisBrand-7310.jpg?v=1727180100,,Sarah Alexis,27
9835644223797,Rachel Silk Blouse,"<p class=""p1"">Elevate your wardrobe with our classic Rachel Blouse, now offered in a luxurious 100% silk charmeuse. Available in a cardinal red that’s a perfect option for holiday events and celebrations. This blouse is your new go-to for a blend of sophistication and modern flair.</p>
<ul>
<li class=""p1"">Collared Neckline</li>
<li class=""p1"">3/4 Sleeves with Buttoned Cuffs</li>
<li class=""p1"">Functional Neckline Ties</li>
<li class=""p1"">High - Low Hem</li>
</ul>",268.00,USD,https://0cadba.myshopify.com/products/rachel-silk-blouse-cranberry,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/SarahAlexisBrand-7065.jpg?v=1727173640,Tops,Sarah Alexis,4
9835641536821,Rachel Silk Blouse - Print,"<p class=""p1"">Elevate your Wardrobe with our classic Rachel Blouse, now offered in a luxurious 100% Silk charmeuse. Available in our signature Fall Floral print that’s reminiscent of a traditional block print with a beautiful watercolor background. This blouse is your new go-to for pairing with denim or corduroys for the season.</p>",268.00,USD,https://0cadba.myshopify.com/products/rachel-silk-blouse,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/SarahAlexisBrand-6744.jpg?v=1731522524,Tops,Sarah Alexis,1
9835640521013,Samantha Silk Dress,"<p class=""p1"">The perfect holiday hostess dress! The Samantha dress is figure-flattering, timeless, and sophisticated. Featuring a front slit and pockets, it's sure to be a wardrobe favorite.</p>
<ul>
<li class=""p1""> Collared Neckline with Buttoned Front Bodice</li>
<li class=""p1"">Center Front Slit For Easy Movement</li>
<li class=""p1"">Midi Length</li>
<li class=""p1"">Pockets</li>
<li class=""p1"">Fully lined</li>
</ul>",455.00,USD,https://0cadba.myshopify.com/products/samantha-silk-dress,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/SarahAlexisBrand-6958.jpg?v=1731521942,Dresses,Sarah Alexis,1
8061065232693,Sarah Alexis Gift Card,Give the gift of fashion,10.00,USD,https://0cadba.myshopify.com/products/sarah-alexis-gift-card,,,Sarah Alexis,0
8061067559221,Testing,Used for website testing purposes,1.00,USD,https://0cadba.myshopify.com/products/testing,,,Sarah Alexis,20
